star,comment
2,              
2,        I love the square display of the Redmi Watch 2 LiteIt is beautiful crispy and clear with dark blacksI truly wanted to love that watchHowever1  Too laggy even when you set raise to wake sensitivity to high  It is very frustratingThere is no always on mode either to address this issue2  No imperial units  Weather is in Celsius and not Fahrenheit  Xiaomi didnt bother to add this option as part of the settings  Deal breaker for Americans3  Weather does not show up on any of the watchfacesI have compared against the Mi Band 7 which is a little faster  
4,        My only concern is battery life after every recharge it hardly lasts for 5 to 6 days  
1,                                
3,        It is not even one year and touch screen is not working I bought one previous version and it didnt last more than a year too  
5,        If you dont need a fancy watch but something that tracks your activity this is a very good investment The battery lasts at least a week It tracks your steps calories distance syncs with iPhone and your native health app It even shows Instagram and other messages Durable and just works  
4,        Very Good it fits my need for a Smart Watch dont expect too many functions Always been a fan of Xiaomi products The battery is good long enough for a Week keeps track of my Walk and most important shows me the right time always P  
5,        If you dont need a fancy watch but something that tracks your activity this is a very good investment The battery lasts at least a week It tracks your steps calories distance syncs with iPhone and your native health app It even shows Instagram and other messages Durable and just works  
3,        It is not even one year and touch screen is not working I bought one previous version and it didnt last more than a year too  
2,        No miles No pounds No inches Celsius only App does not provide a way in the user profile to change nor does it account for the users territory Unnecessary and annoying  
4,        No comments  
1,        I cant get the watch to display notifications on android device Cannot even fully install the mi fitness wearable app The watch in itself is good to track sports activity but on of the feature I was looking for was the  notifications being displayed and this is not working  
3,        Price is high and there is lack in features but acceptable  
5,        Battery backup more than a week All the phone alerts are shown in the Watch Sitting idle alert and many more   
4,        My only concern is battery life after every recharge it hardly lasts for 5 to 6 days  
5,        Battery backup more than a week All the phone alerts are shown in the Watch Sitting idle alert and many more   
1,                                
3,        It is not even one year and touch screen is not working I bought one previous version and it didnt last more than a year too  
2,        Nice looking watch but it is useless if you are heavily tattooed on the wrist That one optical sensor set up doesnt work Same with Fitbit Whoop was what I use to use and I finally found that Polar watches do the trick as well Also the app for this watch sucks  If you have tattoos look at Polar or Whoop  
4,        Very Good it fits my need for a Smart Watch dont expect too many functions Always been a fan of Xiaomi products The battery is good long enough for a Week keeps track of my Walk and most important shows me the right time always P  
1,        Stopped working after three months of usage  disappointed gave as gift to cousin and had worst experience   
3,                  
4,        Very Good it fits my need for a Smart Watch dont expect too many functions Always been a fan of Xiaomi products The battery is good long enough for a Week keeps track of my Walk and most important shows me the right time always P  
4,        Excellent product  extended battery life  multiple functionalityCons  screen is prone to scratch  if possible it would be better if the part came with a cover for the screen like other smart watches  
5,        The Xiaomi Redmi Smart Watch 2 Lite in Black exceeded my expectations Its sleek design seamless connectivity and comprehensive features make it a fantastic smartwatch option The touch screen is responsive the fitness tracking is accurate and the battery life is impressive I highly recommend it for anyone seeking a reliable and stylish smartwatch Five stars  
3,        Price is high and there is lack in features but acceptable  
1,                                
2,      Ich habe die Uhr insgesamt 3 x gekauft einmal fr mich und zwei mal als Geschenk Mein Exemplar ist super und funktioniert gut ob beim schwimmen oder joggen oder schlafen Aber mit einem Exemplar haben wir wirklich Pech gehabt Nach 2 Monaten hatte das Ding schon Totalschaden nichts ging mehr Alles halb so wild dachte ich und habe die Uhr zurckgegeben ReperaturService hat nicht die versprochenen 12 Tage sondern 40 Tage gedauert Naja immerhin haben wir dann eine neue Uhr bekommen Jetzt 3 Monate spter ist auch diese Uhr defekt und wir mssen Sie wieder zur Reperatur einsenden Also muss ich mich ernsthaft fragen was genau fr ein Qualittsversprechen Xiaomi hier macht Ich muss daher dringend vom Kauf der Uhr abraten 2 von 4 Uhren innerhalb von 3 Monaten defekt Das ist wirklich ungengend    
4,        Its a nice watch but please creat replacement belt for this watch too  
1,        It has completely stopped working since a week and was giving me problems since 1 monthNeed to return it immediately  
3,                         
5,        The Xiaomi Redmi Smart Watch 2 Lite in Black exceeded my expectations Its sleek design seamless connectivity and comprehensive features make it a fantastic smartwatch option The touch screen is responsive the fitness tracking is accurate and the battery life is impressive I highly recommend it for anyone seeking a reliable and stylish smartwatch Five stars  
4,        No comments  
5,        Good  
5,        Good  
3,        Price is high and there is lack in features but acceptable  
2,      Wrde ich nicht noch einmal kaufen    
4,        Excellent product  extended battery life  multiple functionalityCons  screen is prone to scratch  if possible it would be better if the part came with a cover for the screen like other smart watches  
1,        I bought two watches one worked and one is not working  
3,      Also grundstzlich ist das Ding schon ok und gewichtet den geringen Kaufpreis wertABER dass man die Uhr nur ber ein Handy oder email in seinen Grundfunktionen  aktivieren kann ist schon schrg bzw als zwingende Voraussetzung der Beschreibung auf Amazon nicht zu entnehmenJedenfalls nach dem Einschalten erscheint nur ein QR Code mit dem man aus dem Store eine entsprechend APP laden mu und sich via Konto ging bei mir nur via SMS nicht via email anmelden mu  sonst geht nmlich gar nichts nicht einmal die Uhrzeit bzw Datum wird angezeigtDer in der Amazon Beschreibung angefhrte Hhenmesser existiert in meiner Softwareversion nicht dafr gibt es einen KompassDie Puls und Sauerstoffmessungen sind bestenfalls Nherungswerte im direkten Vergleich mit angelegtem PulsoximeterSchrittmessung und kcal Angaben sind mM nach auch nicht sonderlich przise der Akku bricht bei intensiver GPS Nutzung binnen eines Tages ein naja es ist ein nettes lustiges Spielzeug fr sonnige Gemter die sich wie ich am bunten sehr guten Display erfreuen    
3,        It is not even one year and touch screen is not working I bought one previous version and it didnt last more than a year too  
4,        Its a nice watch but please creat replacement belt for this watch too  
5,        Very good  
5,        Very good  
3,                  
